Funcao,Dataset,TamanhoTabela,Colisoes,CV,MaiorCadeia,MediaCadeia
Modular,aleatorio2_1000000.txt,1000000,367697,1.0003940574681434,9,1
Multiplicativa,aleatorio2_1000000.txt,1000000,367901,1.0013317212987674,9,1
MeioDoQuadrado,aleatorio2_1000000.txt,1000000,367481,1.0001510011897956,8,1
Folding,aleatorio2_1000000.txt,1000000,367711,1.0005730611593846,8,1
MurmurHash3,aleatorio2_1000000.txt,1000000,367549,0.9996857287586599,8,1
